id;first_name;last_name;email;hire_date
1;Cynthia;Huel;Vinnie81@gmail.com;2024-07-28
2;Lenna;Lindgren-Price;Durward52@hotmail.com;2024-07-28
3;Karli;Hamill;Marge.Goodwin44@hotmail.com;2024-07-29
4;Nestor;Leffler;Haleigh35@yahoo.com;2024-07-29
5;Ora;Emard;Micheal54@yahoo.com;2024-07-29
6;Ross;Kessler;Van_Wilderman48@hotmail.com;2024-07-29
7;Maegan;Bechtelar;Madalyn_Predovic@yahoo.com;2024-07-29
8;Dovie;Gulgowski;Wyman_Armstrong11@gmail.com;2024-07-29
9;Shaun;Koelpin;Brianne37@hotmail.com;2024-07-28
10;Zita;Huel;Louie7@gmail.com;2024-07-29
